District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
62,Hamden School District,2010-11,Y,51,26,51,0,49,3.8,38.5,34.6,19.2,3.8,225.8,23.1,57.7
63,Hampton School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
63,Hampton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
64,Hartford School District,2010-11,N,1320,1284,97.3,0.5,2.3,21,17.4,29.8,23.1,8.8,222.5,31.9,61.6
64,Hartford School District,2010-11,Y,213,65,30.5,1.4,68.1,35.4,20,27.7,13.8,3.1,203.3,16.9,44.6
65,Hartland School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
65,Hartland School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
67,Hebron School District,2010-11,N,148,148,100,0,0,2,4.1,12.8,37.8,43.2,279.8,81.1,93.9
67,Hebron School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
286,Highville Charter School District,2010-11,N,38,38,100,0,0,0,13.2,44.7,34.2,7.9,243.4,42.1,86.8
264,Integrated Day Charter School District,2010-11,N,30,29,96.7,0,3.3,13.8,17.2,20.7,44.8,3.4,229.4,48.3,69
264,Integrated Day Charter School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
261,Jumoke Academy District,2010-11,N,42,42,100,0,0,0,0,33.3,40.5,26.2,264,66.7,100
261,Jumoke Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
68,Kent School District,2010-11,N,24,24,100,0,0,0,0,0,66.7,33.3,287.8,100,100
68,Kent School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
69,Killingly School District,2010-11,N,165,165,100,0,0,4.8,8.5,26.1,38.8,21.8,254.1,60.6,86.7
69,Killingly School District,2010-11,Y,22,20,90.9,0,9.1,30,35,15,15,5,207.1,20,35
245,Learn,2010-11,N,76,76,100,0,0,3.9,9.2,28.9,36.8,21.1,255.9,57.9,86.8
245,Learn,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,N,78,78,100,0,0,0,5.1,20.5,50,24.4,264.1,74.4,94.9
