District ID,District Name,School Year,Total PreK Students with Disabilities,PreK Students with Disabilities Age 3,PreK Students with Disabilities Age 4,PreK Students with Disabilities Age 5,PreK Students with Disabilities Age 6,PreK Students with Disabilities Age 7,PreK Students with Disabilities Age 8
101,North Haven School District,2008-09,33,13,19,1,0,0,0
102,North Stonington School District,2008-09,**,**,**,**,**,**,**
103,Norwalk School District,2008-09,81,29,46,6,0,0,0
104,Norwich School District,2008-09,61,32,26,2,0,0,1
106,Old Saybrook School District,2008-09,17,6,9,2,0,0,0
107,Orange School District,2008-09,11,4,7,0,0,0,0
108,Oxford School District,2008-09,17,6,8,3,0,0,0
109,Plainfield School District,2008-09,25,11,13,1,0,0,0
110,Plainville School District,2008-09,25,14,11,0,0,0,0
111,Plymouth School District,2008-09,10,2,8,0,0,0,0
112,Pomfret School District,2008-09,14,7,7,0,0,0,0
113,Portland School District,2008-09,16,9,5,2,0,0,0
114,Preston School District,2008-09,6,3,3,0,0,0,0
116,Putnam School District,2008-09,20,10,10,0,0,0,0
117,Redding School District,2008-09,15,5,10,0,0,0,0
206,Regional School District 06,2008-09,11,2,9,0,0,0,0
210,Regional School District 10,2008-09,26,13,11,2,0,0,0
212,Regional School District 12,2008-09,7,3,4,0,0,0,0
213,Regional School District 13,2008-09,20,5,11,4,0,0,0
214,Regional School District 14,2008-09,16,4,10,2,0,0,0
215,Regional School District 15,2008-09,40,16,22,2,0,0,0
216,Regional School District 16,2008-09,20,9,9,2,0,0,0
217,Regional School District 17,2008-09,20,2,15,3,0,0,0
218,Regional School District 18,2008-09,18,7,7,4,0,0,0
118,Ridgefield School District,2008-09,37,12,23,2,0,0,0
119,Rocky Hill School District,2008-09,21,7,13,1,0,0,0
121,Salem School District,2008-09,7,2,3,2,0,0,0
122,Salisbury School District,2008-09,8,0,8,0,0,0,0
123,Scotland School District,2008-09,**,**,**,**,**,**,**
124,Seymour School District,2008-09,29,12,17,0,0,0,0
125,Sharon School District,2008-09,**,**,**,**,**,**,**
126,Shelton School District,2008-09,40,22,18,0,0,0,0
127,Sherman School District,2008-09,6,2,3,1,0,0,0
128,Simsbury School District,2008-09,25,8,14,3,0,0,0
129,Somers School District,2008-09,7,4,3,0,0,0,0
132,South Windsor School District,2008-09,44,22,17,5,0,0,0
131,Southington School District,2008-09,56,25,30,1,0,0,0
133,Sprague School District,2008-09,**,**,**,**,**,**,**
134,Stafford School District,2008-09,15,9,6,0,0,0,0
135,Stamford School District,2008-09,88,44,42,2,0,0,0
136,Sterling School District,2008-09,**,**,**,**,**,**,**
137,Stonington School District,2008-09,23,10,12,1,0,0,0
138,Stratford School District,2008-09,50,22,24,1,3,0,0
139,Suffield School District,2008-09,30,10,18,2,0,0,0
140,Thomaston School District,2008-09,14,8,5,1,0,0,0
141,Thompson School District,2008-09,9,5,4,0,0,0,0
142,Tolland School District,2008-09,21,8,13,0,0,0,0
143,Torrington School District,2008-09,61,25,33,3,0,0,0
144,Trumbull School District,2008-09,77,28,31,17,1,0,0
146,Vernon School District,2008-09,34,17,17,0,0,0,0
147,Voluntown School District,2008-09,**,**,**,**,**,**,**
148,Wallingford School District,2008-09,51,19,31,1,0,0,0
151,Waterbury School District,2008-09,212,104,90,17,1,0,0
152,Waterford School District,2008-09,23,8,14,1,0,0,0
153,Watertown School District,2008-09,24,8,14,2,0,0,0
155,West Hartford School District,2008-09,84,37,42,5,0,0,0
156,West Haven School District,2008-09,81,37,44,0,0,0,0
154,Westbrook School District,2008-09,11,7,4,0,0,0,0
157,Weston School District,2008-09,19,7,9,3,0,0,0
158,Westport School District,2008-09,29,13,11,5,0,0,0
159,Wethersfield School District,2008-09,30,8,21,0,1,0,0
160,Willington School District,2008-09,9,5,4,0,0,0,0
161,Wilton School District,2008-09,20,9,11,0,0,0,0
162,Winchester School District,2008-09,20,9,10,1,0,0,0
163,Windham School District,2008-09,35,14,20,1,0,0,0
165,Windsor Locks School District,2008-09,18,7,11,0,0,0,0
164,Windsor School District,2008-09,40,18,16,6,0,0,0
166,Wolcott School District,2008-09,11,4,6,1,0,0,0
167,Woodbridge School District,2008-09,**,**,**,**,**,**,**
169,Woodstock School District,2008-09,**,**,**,**,**,**,**
1,Andover School District,2007-08,**,**,**,**,**,**,**
2,Ansonia School District,2007-08,23,12,10,1,0,0,0
